source,reference,prediction,reference_len,prediction_len,token_f1,length_gap
- 我錢夠多的了.,- I have enough money.,- i ' m going to my .,6,8,0.4286,2
我們沒有和你們接洽.,We did not approach you.,we ' ll you want to you .,6,8,0.4286,2
你为什么改变了 这些席次牌呢？,Why did you change those place cards?,why do you do you ?,8,6,0.4286,2
我非常爱科莱特,♪ I'm crazy for Colette ♪,i ' m not <unk> .,8,6,0.4286,2
"打得好，先生，非常利落。 Well bowled, sir.","Well bowled, sir.","well , , , , , , . .",5,9,0.4286,4
"我要这顶帽子，但我想照照镜子。 I'll take the hat, but I want to look in the mirror.","I'll take the hat, but I want to look in the mirror.","i ' m going to <unk> , i ' m <unk> .",16,12,0.4286,4
你弄断了我的拇指,You broke my thumb.,you ' re you to my my wife .,5,9,0.4286,4
一你讨厌她 一亲爱的，不要这么胡闹啦．,"- You hate her. - Oh, darling, don't be ridiculous.","- you ' you , i ' m not . . .",16,12,0.4286,4
我得赶紧走,I got to run.,i ' m going to go to go .,5,9,0.4286,4
为她的王子利益着想...,¶ In the interests of her prince...,she she her her . . . . .,10,9,0.4211,1
我想看到她安全地抵达家时,I wanted to see her get home safely.,i ' ll find her to her . . .,9,10,0.4211,1
我真是疯了,It's all right. I'm dreadfully sorry.,i ' m going to the .,12,7,0.4211,5
一定很喜欢冯·伯恩伯格老师,She must have also had a crush on Miss von Bernburg.,"- no , miss von bernburg .",12,7,0.4211,5
"- 她要醒了, 會給我打電話的.",- She'll be waking up and calling for me.,- she ' s all right .,12,7,0.4211,5
"但是我, 相信我... 如果一個人不瞭解死亡, 它就不會瞭解人生.","But I, believe me... if a man doesn't know death, he doesn't know life.","but i ' m not , i ' m not <unk> . . .",24,14,0.4211,10
保罗 我真替你高兴,"- That's not where I'm going. I live over there. Paul, I'm so happy.",i ' m you i ' m you you .,24,10,0.4118,14
"我搞不清楚第一部分，从哪里开始... ... J""当...","I can't get that first part right, where it starts... 2 When...","i ' ' t t t you , i ' ' t t . . . . . . . . . . . . . . .",21,28,0.4082,7
"Outside. Go on, outside.","Go on, outside.","i ' , , .",5,5,0.4,0
你好! How do you do?,How do you do?,you you you you ?,5,5,0.4,0
"-hmm. 这是你的主意，歌洛莉亚。 You know, that was your idea, Gloria.","You know, that was your idea, Gloria.","- i , you , , , , . .",10,10,0.4,0
你想去哪？,Where are you going?,you want to go ?,5,5,0.4,0
"是的,来吧。 Yeah, come on.","Yeah, come on.","yes , , , .",5,5,0.4,0
你掉了錢包,You dropped your wallet.,you ' re you .,5,5,0.4,0
我是弗兰克.,It's Frank.,i ' m going .,5,5,0.4,0
"每次我这么做，你都把事情搞砸。 Every time I do, you mess things up.","Every time I do, you mess things up.","i ' m you , i ' m you .",10,10,0.4,0
So there you are.,So there you are.,i ' m you .,5,5,0.4,0
你是她们的上级,You are their superior.,you ' re her .,5,5,0.4,0
那麼老套.,So threadbare.,that .,3,2,0.4,1
Gee! - Great!,- Great!,the !,3,2,0.4,1
- 你能不能專心點兒?,- Would you please pay some attention?,- you ' t you you ?,8,7,0.4,1
Yeah.,Yeah.,i ' .,2,3,0.4,1
遲些我再告訴你,I'll tell you later. Isn't that so?,"i me , i ' ll you you you you you .",13,12,0.4,1
我要去瑞士,"To Switzerland, to have a baby.",i ' ll go to to .,8,7,0.4,1
聽見了嗎?,Hear me?,- ?,3,2,0.4,1
- 我應該下多少注啊?,- How much shall I bet?,- i ' m going to ? ?,7,8,0.4,1
我想做些記錄.,I want to do some dictating.,i ' m going to <unk> <unk> .,7,8,0.4,1
板! Board!,Board!,i ' !,2,3,0.4,1
她不会去的！,"""She's not going!""",she ' ' t t her !,8,7,0.4,1
A theme? What theme?,What theme?,how ?,3,2,0.4,1
-像这样的一个发现！,- And a find like this!,- this is this this is this !,7,8,0.4,1
"""我是他的妻子""","""l am his wife.""",""" l he ' s him him """,7,8,0.4,1
你好?,Hello?,you you ?,2,3,0.4,1
得了吧！,Spare me!,""" !",3,2,0.4,1
法国大革命,The French Revolution.,the <unk> of the <unk> .,4,6,0.4,2
- I do appreciate it.,- Thank you.,- i ' m not .,4,6,0.4,2
- 又是在博物馆里吗?,- In the museum again?,- who is ?,6,4,0.4,2
只是个样本,Just a sample.,that ' s a <unk> .,4,6,0.4,2
"如果你還沒回來, 看來我們有必要去聘請別人了.","If you're not back, it will be necessary to engage someone else.","you ' re , , i ' ll go to to to . .",16,14,0.4,2
"嗨,各位。 Hi, folks.","Hi, folks.","oh , , , . .",4,6,0.4,2
Telephone the police. The number is Spring 3100.,The number is Spring 3100.,the <unk> <unk> .,6,4,0.4,2
- 太對了.,- Quite so.,- that ' s . .,4,6,0.4,2
- Patch pockets.,- Patch pockets.,- i ' ' s .,4,6,0.4,2
我就知道 I knew it.,I knew it.,i know know i know .,4,6,0.4,2
市长要离开,The Governor leaves. ـــــــــــ ـــــــــــ,"the <unk> , the <unk> .",4,6,0.4,2
纳瓦拉的亨利,Henry of Navarre.,the <unk> of the <unk> .,4,6,0.4,2
"- Fine! Fine, I don't blame her!","Fine, I don't blame her!","- i ' m sorry ,",9,6,0.4,3
"去你的舱口吹吧，你这白头老公鸡。 Blow it in your hatch, you old, white -headed rooster.","Blow it in your hatch, you old, white-headed rooster.","you ' your your your , , you ' re .",14,11,0.4,3
我也很想念你 保罗,"I missed you, Paul.",i ' ' t want to you you .,6,9,0.4,3
- 你知道更不好受的是什么吗?,You want to know what's hard?,- you know you know ?,9,6,0.4,3
怪不得她那麼匆忙.,No wonder she was running.,"- no , she ' t her . .",6,9,0.4,3
最终祈祷之时到了,The time has come for the final prayer.,the <unk> <unk> the <unk> .,9,6,0.4,3
-Remember about that 20th crack? Perfectly.,- Perfectly.,- i ' s the suit .,3,7,0.4,4
"非常帅气的英式扣装，最新款。 A very handsome English bucking -suit, the latest cut.","A very handsome English Bucking-suit, the latest cut.","- ' s the <unk> , , .",12,8,0.4,4
经过一夜美好宁静的休息后,"After a nice, quiet, refreshing night's rest.",- ' s a <unk> <unk> <unk> .,12,8,0.4,4
斯迈思，我来接电话。,"Smythe, I'll get this. I'm expecting some friends.","- , , i ' m going to me .",15,10,0.4,5
"Wait, wait. No, no, no, don't raise your arms.","No, no, no, don't raise your arms.","i , , , , , .",13,7,0.4,6
- 我亲爱的 你该不会毁了自己的前途吧？,"-But, ma chère, you wouldn't jeopardize your prospects, would you?",- i ' m you you ' t you to my ?,18,12,0.4,6
我说的是你 你,Not the war. You. That's what I'm talking about.,i ' m your your your your you .,16,9,0.4,7
要我负责杀敌 不让我先练练怎么成,"If I'm gonna bump off the enemy, I gotta have some practise.","i ' ' t want to me , i ' m going to me .",16,15,0.3871,1
但是普萊辛格先生一直以為 這是確定的 --,But Mr. Preysing has too great a regard for the certainty...,"but mr , mr . . . . . . . . . . . .",15,16,0.3871,1
"加拉格尔，你绝对没有冒险，对吧？ Well, Gallagher, you certainly took no chances, did you?","Well, Gallagher, you certainly took no chances, did you?","oh , , , , , you , you ' t you .",13,13,0.3846,0
你的下巴让我很想摸一下。 You've got the kind of chin I'd just love to touch.,You've got the kind of chin I'd just love to touch.,you ' ' t you to me to me .,16,10,0.3846,6
我要去地底 到我的兄弟那儿去,"Into the Depths, ― to my brothers...",i ' ll go to my to my . .,11,10,0.381,1
-不 别回去 别回去,I won't do it. - Never!,- no ' t go to go to go back .,10,11,0.381,1
"是啊，它们也让我起鸡皮疙瘩。 Yeah, they give me the creeps, too.","Yeah, they give me the creeps, too.","oh , , , i ' m <unk> to me .",10,11,0.381,1
我没有零钱，先生,"""I haven't any change, sir.""","i ' m not <unk> , , , . .",11,10,0.381,1
今晚 约萨法特 今晚我就回来,"Tonight, Josaphat ― tonight when I come back...","- , , i ' ll be back .",12,9,0.381,3
我出生的那个小镇...,"""The little town where I was born...""",i ' m my <unk> . . . .,12,9,0.381,3
3月12日 终于...,12 March. Finally... finally!,the <unk> . . . . . . . . . .,9,12,0.381,3
"我要盡可能過的舒服, 過的開心.",I'm going to have a good time while I can.,i ' ll be to my <unk> .,13,8,0.381,5
我只是告诉安德烈 我没什么衣服可穿了,I was just telling Andre how I've nothing to wear.,i ' m going to tell me .,13,8,0.381,5
我无话可说,Now what? I won't be able to say a word.,i ' m not to my .,14,7,0.381,7
- 作为一个朋友和学者,- As a friend and an expert.,- a a <unk> of a <unk> .,8,8,0.375,0
"你再幫我看看, 好嗎?","Will you help me again, please?","you you want to see , i ?",8,8,0.375,0
我没办法帮助他,There's no helping him.,i ' ' t go to <unk> him .,7,9,0.375,2
"Open it quickly, will you?","Open it quickly, will you?","i ' m you , you , you ?",7,9,0.375,2
你现在就得告诉她,You have to tell her now!,you ' re you to her her her .,7,9,0.375,2
- 是的， 这是她的名字,- Yes. It's her name.,"- yes , yes , yes .",9,7,0.375,2
玛努薇拉 你太出色了,"Manuela, that was very good.","manuela , you ' re going to you .",7,9,0.375,2
"- 你跟我來, 茲諾威特茲.","- You come along, Zinnowitz.","- i ' m sorry , , . .",7,9,0.375,2
没事了 没事了,It's okay. It's okay.,that ' s all right .,10,6,0.375,4
"直到我写完我的剧本。 That is, until I finish writing my play.","That is, until I finish writing my play.",i ' m my <unk> .,10,6,0.375,4
你停这儿干什么？,"Hey, why have you come back in here for?",why you do you ?,11,5,0.375,6
現在我是個賭徒... 一個逍遙法外的人在... 享受著讓我喜歡的每一件事物.,"Now I'm a gambler... running at large, like a happy pig... devouring everything of life that pleases me.",i ' ve been <unk> <unk> <unk> <unk> . . . . . . . . . . . .,28,20,0.375,8
不 她事实上没这么说 可她一定能就是这个意思,"No, she didn't say that, but she didn't have to, I just know.",i ' ' t t her her her . . .,21,11,0.375,10
我还以为你不来了怎么回事？,"Oh, Fergy, I was afraid you wouldn't come. Would you mind telling me what this is all about?",i ' t you want to you ?,24,8,0.375,16
"这也是不公平的，因为我酒量很好。 It's an injustice, too, because I hold my liquor all right.","It's an injustice, too, because I hold my liquor all right.","that ' s not , i ' ' t be .",16,11,0.3704,5
他们为什么要把我们送到这里来伤害对方？,Why should they send us out to fight each other?,they they they they to us to us to us ?,11,11,0.3636,0
如果我们能拉拢到 詹金斯小姐...,"""If we can only interest Miss Jenkins...",we ' <unk> <unk> <unk> <unk> <unk> . . . .,11,11,0.3636,0
我做得怎么样? Yes? How am I doing?,How am I doing?,i ' m you want ?,5,6,0.3636,1
- 她吸引了我?,- Hers to me?,- she ' s her ?,5,6,0.3636,1
早上好 教授,"Morning, Herr Professor!","- good evening , professor .",5,6,0.3636,1
- 保罗 好可爱的名宇,- Paul. - Paul.,"- yes , <unk> .",6,5,0.3636,1
許個願吧，皇后！,"One wish, O Queen!",""" , , , !",6,5,0.3636,1
保重 玛努薇拉,"Be good, Manuela.",manuela manuela manuela manuela manuela .,5,6,0.3636,1
什么？,- Yes. - What?,what ' s what ?,6,5,0.3636,1
你现在身体感觉如何？,Do you feel all right?,you ' re you ?,6,5,0.3636,1
"好好喝吧，妈妈。 Drink hearty, Mother.","Drink hearty, Mother.","well , , , , .",5,6,0.3636,1
他看起來很平靜.,He looks so peaceful.,he he ' s he .,5,6,0.3636,1
我得到了一份礼物。 闭上你的眼睛。,I got a present.,i ' ve been <unk> .,5,6,0.3636,1
奥德萨的市民们！,"""Citizens of Odessa!",the <unk> of the <unk> !,5,6,0.3636,1
快跑，路易斯！,"Run for it, Louis!",""" , , , !",6,5,0.3636,1
嗯．拉克鲁瓦夫人,"Yes, Madame Lacroix.","- , , , . .",5,6,0.3636,1
"珍珠, 如果它們要是碎了...","The pearls, if they were to break....","oh , , , we ' s . . .",12,10,0.3636,2
告诉他穆勒医生希望马上见到他,Tell him Dr Muller wishes to see him urgently.,he ' he he ' t he him to his him .,10,12,0.3636,2
"Oh, how do you do? You're Mr. Miller, aren't you?","You're Mr. Miller, aren't you?","how , you , you , you , you ?",12,10,0.3636,2
我的爱,""" ...my nature """,my my my .,7,4,0.3636,3
你胆敢,How dare you.,"you ' re you , you .",4,7,0.3636,3
我不该休假回来的 我明天就回去,I shouldn't have come on leave.,i ' ' t t t i ' ll be to find .,9,13,0.3636,4
我们都对你很关心,"Uh, two vermouth. You see, we all thought you were dead.",we ' ll you you you .,15,7,0.3636,8
"後來, 人們發現他死了.","Later on, they found him dead.","oh , , , he ' s dead .",8,9,0.3529,1
我可以证明给你看,And I can prove it to you.,i i ' m you you you you .,8,9,0.3529,1
你說呢？ 他們三個圍住我,The three of 'em rushed me.,"you ' re you to me , <unk> .",8,9,0.3529,1
怎么回事 不告别吗,"What's this, no Adieu?",- no ' t t t t you ?,8,9,0.3529,1
我们只是想知道关于我们的未付工资。,We are asking about our unpaid salary.,we we we we we we to our .,8,9,0.3529,1
但是 校长 我们尽力了,"But, Headmistress, we do our best.",but i ' ve got to we .,9,8,0.3529,1
"- Hank, how are you? - Fine, but kind of thirsty.","- Fine, but kind of thirsty.","- i , you , you , you .",8,9,0.3529,1
但是我决定不屈服,But I am determined not to weaken.,but i ' ' t t t you .,8,9,0.3529,1
Sure I'm insane! But I got some good news for you.,But I got some good news for you.,i ' ' t you to me .,9,8,0.3529,1
你忘了穿紧身衣了,"""You've forgotten your tights.""",you ' re going to the matter .,9,8,0.3529,1
"男爵不在這兒了, 夫人.","The Baron is not here, madam.","- no , ' s not . . .",8,9,0.3529,1
请到我办公室来好吗? Won't you come into my office?,Won't you come into my office?,i ' m you want to you ?,9,8,0.3529,1
"我要一個房間, 一個大房間.","I want a room, a big room.",i ' ve got to my room .,9,8,0.3529,1
你要把他的薪水簿拿走吗？,Would you like to take his pay book?,you ' re him to your <unk> ?,9,8,0.3529,1
你认为你可以抵挡她的诱惑吗？,♪ Do you think you could resist her ♪,you you you you you to her ?,9,8,0.3529,1
"我会很惊讶的，嗯？ What? I'll be surprised, eh?","I'll be surprised, eh?",i ' ' t want to the <unk> ?,8,9,0.3529,1
"Ah, but he's a copenheimer.""","Ah, but he's a Copenheimer.""",i ' ' s the <unk> .,10,7,0.3529,3
－我是你的兄弟。,- I wasn't doin' nothin'.,i ' m your your your .,10,7,0.3529,3
这是一个弧形,"This, my dear, is called an arch.",this is this is a <unk> .,10,7,0.3529,3
白忙了一场 我什么都没找到,No use. I couldn't find anything.,i ' m going to me .,10,7,0.3529,3
- 有多少人參加你們的聚會?,- How many in your party?,"- no , <unk> <unk> <unk> your your your ?",7,10,0.3529,3
乖，和妈妈一起玩。,"Be a good girl, play with this mother here.","oh , mother , mother .",11,6,0.3529,5
-是的，先生 -对不起我感谢你的努力...,"- Quite, sir.","- yes , , i ' m not . . . .",5,12,0.3529,7
这对你的律师朋友... ... 来说没什么但你不应该到处想着你可以收买人。,That's all right for your lawyer friend but you shouldn't go around thinking you can buy people.,you ' ' t you to you to you to you .,22,12,0.3529,10
宝贝，你得回到我们这一边,"Oh, baby. How you ever come back to me?",""" , you , i ' ll go to go .",12,11,0.3478,1
怎么回事，你就没把观众逗笑过,"""What's the matter?"" ""You hardly got a laugh!""","what ' s you , you ' re going to the <unk> .",16,13,0.3448,3
"当然，你只会愚蠢地花钱。 Well, of course, you'd only spend it foolishly.","Well, of course, you'd only spend it foolishly.","oh , you , you ' ll be , you , you ' ll be .",13,16,0.3448,3
按照你们俩的发展速度... ... 为了保全颜面，我们得离开这个国家。,At the rate you two are going we'll have to leave the country to save our faces.,you ' re going to the <unk> . . . . . . . .,20,15,0.3429,5
这里能应聘的工作我都试遍了 你还有什么好建议吗？,"""I've tried every place in town for a job, do you suppose there's any use asking you?""","this is the <unk> , you ' s you ?",25,10,0.3429,15
"""现在，你就能明白我为什么非常害怕 除夕夜在我身上会发生致命性的事情了""","""Now you know why i'm afraid of something fatal happening on New Year's Eve.""",""" "" l , i ' ll be you to me . i ' ll be to to . .",21,20,0.3415,1
只会产生爱,Always love.,""" . .",3,3,0.3333,0
"Sharpe. - Hello, miss mooney.","- Hello, Miss Mooney.","i ' , , , .",6,6,0.3333,0
你让我怎么样都行,You can ask anything of me...,you ' ' t you want to me .,9,9,0.3333,0
-非常感谢。 -好吧，好吧，别客气。,- Thank you very much.,"- oh , , . .",6,6,0.3333,0
-你昨天在哪里？ -我和斯图去兜风了。,- Where were you yesterday?,- you ' re you .,6,6,0.3333,0
这是你的错！,It's your fault!,this is your your your !,6,6,0.3333,0
你离开宿舍前得向我报告,You must notify me before leaving the dormitory.,you ' re going to me to me .,9,9,0.3333,0
当晚,That Night.,the <unk> .,3,3,0.3333,0
一只鸟。,A bird.,- no .,3,3,0.3333,0
一也许你应该去南部 一不．我太热了,"- ♪ Maybe you should go south ♪ - ♪ No, I'm too warm ♪","- i ' you you , you ' t you , i ' m going to you .",18,18,0.3333,0
我不在乎别人说闲话,"That won't worry me, Mother.",i ' ' t t t t you .,9,9,0.3333,0
年轻的妻子，现在是一位母亲 期盼着孩子的父亲回来,"The little wife, now a mother, plans for the day of daddy's return.","the <unk> , the <unk> , the <unk> of the <unk> of the <unk> of the <unk> .",18,18,0.3333,0
實在太棒了！,Simply splendid!,the <unk> !,3,3,0.3333,0
- 我还想问你呢,I was gonna ask you the same question.,- i want to tell you you you .,9,9,0.3333,0
警察,The police?,the <unk> .,3,3,0.3333,0
-我不吃了。 -天啊，真倒霉。,- No more for me.,- i ' m sorry .,6,6,0.3333,0
Here you are. How do you like that?,How do you like that?,you ' you you you ?,6,6,0.3333,0
一哇！,- Ah?,- ! !,3,3,0.3333,0
先生，找你的钱,"""Wait for your change, sir.""","oh , , you ' re your wife .",9,9,0.3333,0
"- 夫人, 您睡的好嗎?",- Did Madame sleep well?,"- no , , , ?",6,6,0.3333,0
- 這個玩意有必要嗎?,- Are these things necessary?,- what is a <unk> ?,6,6,0.3333,0
可是我為什麼要和你說這些?,But why am I telling you all this?,what i ' m you want to you ?,9,9,0.3333,0
外出。 看一看材料。,Go outside.,come on .,3,3,0.3333,0
转身,Turn around.,the <unk> .,3,3,0.3333,0
什么样的展示品？,"""What kind of spectacle?""",what ' s what ?,7,5,0.3333,2
我有很多原因高兴 你也会高兴的,I have every reason to be! You should be pleased too.,i ' m i ' m you you to you .,13,11,0.3333,2
- 有人找過我嗎?,- Has anyone asked for me?,"- no , that ?",7,5,0.3333,2
我试着去找他但没有找到,"and couldn't find him.""",i ' ll go to to find to find .,8,10,0.3333,2
你为什么非要跟我们作对呢，马赫屈？,"""Why must you rebel against us, Marcus?",why why you want to tell you ?,10,8,0.3333,2
就因为我晚上不和他们一起去,Because I don't go with them at night.,i ' ' t let me to to to to to . .,11,13,0.3333,2
就是他，沒錯,"It's him, all right.",he ' s he ' s he ' s .,8,10,0.3333,2
"你也可以给我看看，妈妈。 You might show some too, Mother.","You might show some too, Mother.","you ' t you , i ' m you .",8,10,0.3333,2
母亲 我差点忘了 我带了些小礼物回来给您,"I almost forgot, Mother. I've got some little presents for you.","i ' m going to me , i ' m going to me .",16,14,0.3333,2
我只是尽自己的义务,I have only done... My duty.,i ' m going to my wife .,10,8,0.3333,2
目标 -奥德萨剧院,The target - the Odessa theater.,"- <unk> , <unk> .",7,5,0.3333,2
- Just a minute. Johnson's outside.,Johnson's outside.,- i ' ' t you .,5,7,0.3333,2
那个年轻人说得不全对,The young one is not quite right.,that ' s not the <unk> of the <unk> .,8,10,0.3333,2
我体内的兽性将会发作,I'd yield to the animal in me.,i ' ll be <unk> <unk> <unk> .,10,8,0.3333,2
怎能仅凭...,"I mean, it's only circumstantial evidence.",i ' <unk> . . . . .,10,8,0.3333,2
再来一次,Again.,"come , , .",2,4,0.3333,2
老天，你每天都写信,"Oh, to that little...","oh , you , you , you , you .",8,10,0.3333,2
你好，安德烈？,"Hello, Andre.","hello , you , you , you ?",4,8,0.3333,4
你说外面那些人没文化,"And anyway, what's the idea of calling them...",you ' ll be the <unk> of the <unk> .,14,10,0.3333,4
可怜的老伙计，你到底做了什么 能让他们对你这样,"Poor old fella. Now, what could you have done to make 'em treat you like that?",""" , , you , you , you , you ' re you to you .",20,16,0.3333,4
"不好意思，我去看看那个慢吞吞的人在干什么。 Excuse me, I'll run up and see what that slowpoke's doing.","Excuse me, I'll run up and see what that slowpoke's doing.","i ' ' t get to <unk> , i ' m not .",17,13,0.3333,4
你已经读了那诅咒 你敢蔑视它吗？,You have read the curse. You dare defy it?,you ' re you you you ?,11,7,0.3333,4
斯图是唯一一个有头脑的人。 Stew's the only man with brains enough for this.,Stew's the only man with brains enough for this.,that ' s a <unk> .,12,6,0.3333,6
号码是DS4 -5 -1,"Uh, number Delta, Sierra, 4-5-1.","- yes , sir .",13,5,0.3333,8
克裏米爾特夫人，您即將遠行 難道不想跟您的家族修好嗎？,"You are heading far away, Lady Kriemhild. Don't you want to make peace with your family first?",""" , , , , , ' t you to be to be ?",22,14,0.3333,8
若你不信，可以去问守卫,"Alone? Well, perhaps I was mistaken, you know, it is quite dark out there.","you ' t you , , , ' t you .",19,11,0.3333,8
Elizabeth Keen不是你的妻子 而是你的目标,"Elizabeth Keen is not your wife, she's your target.",you ' ' s your your your your your wife your wife your wife your wife your wife your wife your wife .,13,23,0.3333,10
你买不起她 她能卖两倍的价钱,"""You can't buy her, she'll bring twice that much.""",you ' ' t her her her her her her her her her her her her her her her .,17,20,0.3243,3
亲爱的校长 我想跟您谈谈幼儿园的事,"And, Headmistress, I would like to speak to you about the nursery school.","i ' m going to my , i ' ll be to my . .",16,15,0.3226,1
"我是女人，大自然最可爱的建筑之一。 I am woman, one of nature's loveliest pieces of architecture.","I am woman, one of nature's loveliest pieces of architecture.","i ' ' , i ' m <unk> <unk> <unk> .",14,11,0.32,3
那就别对我变女人。 Then don't turn female on me.,Then don't turn female on me.,"i ' ' t t me , i ' m",9,10,0.3158,1
"开始欣赏我了，是吧？ Well, beginning to appreciate me, huh?","Well, begin to appreciate me, huh?","i ' m , i , i , , ?",9,10,0.3158,1
你们不能跟她联系,You are not allowed to associate with her.,you ' t t t her her her her .,9,10,0.3158,1
- 不過我再也不回弗裏德斯多夫了.,- but I am never going back to Friedersdorf.,"- no , i ' m not . .",10,9,0.3158,1
"怎么了，夏普先生? What's the matter, Mr. Sharpe?","What's the matter, Mr. Sharpe?","what , , , , , , , ?",10,9,0.3158,1
